"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 02 10:25:53 WAT 2022","Fri Dec 02 10:25:53 WAT 2022","583","Default Suite","SeleniumBlogTest","SeleniumWebBlogTest","SeleniumWebBlogTest","logoutSuccessfully","logoutSuccessfully",""
"passed","Fri Dec 02 10:25:36 WAT 2022","Fri Dec 02 10:25:43 WAT 2022","6225","Default Suite","SeleniumBlogTest","SeleniumWebBlogTest","SeleniumWebBlogTest","positiveSignup","positiveSignup",""
"passed","Fri Dec 02 10:25:48 WAT 2022","Fri Dec 02 10:25:53 WAT 2022","5071","Default Suite","SeleniumBlogTest","SeleniumWebBlogTest","SeleniumWebBlogTest","searchItem","searchItem",""
"passed","Fri Dec 02 10:25:07 WAT 2022","Fri Dec 02 10:25:12 WAT 2022","5083","Default Suite","SeleniumBlogTest","SeleniumWebBlogTest","SeleniumWebBlogTest","signUpButton","signUpButton",""
"passed","Fri Dec 02 10:25:24 WAT 2022","Fri Dec 02 10:25:30 WAT 2022","6187","Default Suite","SeleniumBlogTest","SeleniumWebBlogTest","SeleniumWebBlogTest","negativeSignupInvalidPassword","negativeSignupInvalidPassword",""
"passed","Fri Dec 02 10:25:43 WAT 2022","Fri Dec 02 10:25:48 WAT 2022","5056","Default Suite","SeleniumBlogTest","SeleniumWebBlogTest","SeleniumWebBlogTest","locateUser1Item","locateUser1Item",""
"passed","Fri Dec 02 10:25:12 WAT 2022","Fri Dec 02 10:25:18 WAT 2022","6062","Default Suite","SeleniumBlogTest","SeleniumWebBlogTest","SeleniumWebBlogTest","negativeSignupInvalidUsername","negativeSignupInvalidUsername",""
"passed","Fri Dec 02 10:25:30 WAT 2022","Fri Dec 02 10:25:36 WAT 2022","5882","Default Suite","SeleniumBlogTest","SeleniumWebBlogTest","SeleniumWebBlogTest","negativeSignupInvalidEmptyFields","negativeSignupInvalidEmptyFields",""
"passed","Fri Dec 02 10:25:18 WAT 2022","Fri Dec 02 10:25:24 WAT 2022","5774","Default Suite","SeleniumBlogTest","SeleniumWebBlogTest","SeleniumWebBlogTest","negativeSignupInvalidEmail","negativeSignupInvalidEmail",""
